section,ppt_section_folder,filename,description,ppt_hint,report_path,section_path,order
acoustic,01_acoustic_features,static_features_other_pd.png,Other feature distributions for case vs control.,Slide 8 embedding/feature separability context,reports/static_features_other_pd.png,reports/figures/01_acoustic_features/static_features_other_pd.png,13
cluster_insights,03_feature_clustering_insights,pca_raw_features_scatter.png,PCA scatter of raw acoustic features.,Slide 8 dimensionality insights,reports/pca_raw_features_scatter.png,reports/figures/03_feature_clustering_insights/pca_raw_features_scatter.png,14
cluster_decision,02_feature_clustering_decision,performance_vs_clusters.png,Coarse K sweep ROC-AUC (val) by model and aggregation.,Slide 19-21 cluster-aggregated results,reports/performance_vs_clusters.png,reports/figures/02_feature_clustering_decision/performance_vs_clusters.png,15
cluster_decision,02_feature_clustering_decision,performance_heatmap.png,Cluster search heatmap across models and aggregations.,Slide 19-21 cluster-aggregated results,reports/performance_heatmap.png,reports/figures/02_feature_clustering_decision/performance_heatmap.png,16
cluster_decision,02_feature_clustering_decision,fig_coarse_k_contenders_selection_scope.png,Small-K contender highlighting within val selection scope.,Slide 20-21 coarse K and contender logic,reports/fig_coarse_k_contenders_selection_scope.png,reports/figures/02_feature_clustering_decision/fig_coarse_k_contenders_selection_scope.png,17
cluster_decision,02_feature_clustering_decision,fine_tune_performance_13_17.png,Fine-tune window performance trends around selected K region.,Slide 21 peak region verification,reports/fine_tune_performance_13_17.png,reports/figures/02_feature_clustering_decision/fine_tune_performance_13_17.png,18
cluster_decision,02_feature_clustering_decision,cluster_validation_silhouette_cophenetic.png,K-diagnostics: silhouette and cophenetic trends for hierarchical feature clustering.,Slide 12-14 cluster count diagnostics,reports/cluster_validation_silhouette_cophenetic.png,reports/figures/02_feature_clustering_decision/cluster_validation_silhouette_cophenetic.png,19
cluster_decision,02_feature_clustering_decision,cluster_validation_elbow_curve.png,Elbow-style compactness proxy using within-cluster feature distance.,Slide 12-14 cluster compactness diagnostics,reports/cluster_validation_elbow_curve.png,reports/figures/02_feature_clustering_decision/cluster_validation_elbow_curve.png,20
cluster_decision,02_feature_clustering_decision,cluster_validation_stability_bootstrap_ari.png,Bootstrap K-stability using adjusted Rand index over feature-cluster assignments.,Slide 12-14 cluster stability diagnostics,reports/cluster_validation_stability_bootstrap_ari.png,reports/figures/02_feature_clustering_decision/cluster_validation_stability_bootstrap_ari.png,21
cluster_insights,03_feature_clustering_insights,feature_clustering_dendrogram.png,Feature dendrogram from 1-|r| distance with Ward linkage.,Slide 13 feature clustering methodology,reports/feature_clustering_dendrogram.png,reports/figures/03_feature_clustering_insights/feature_clustering_dendrogram.png,22
cluster_insights,03_feature_clustering_insights,pca_explained_variance.png,PCA explained and cumulative variance curves.,Slide 8 dimensionality and embedding insights,reports/pca_explained_variance.png,reports/figures/03_feature_clustering_insights/pca_explained_variance.png,23
cluster_insights,03_feature_clustering_insights,cluster_importance_22clusters.png,Permutation-based cluster importance for selected best K.,Slide 26-29 interpretability and cluster characterization,reports/cluster_importance_22clusters.png,reports/figures/03_feature_clustering_insights/cluster_importance_22clusters.png,24
cluster_insights,03_feature_clustering_insights,cluster_importance_best.png,Alias of selected best-K cluster importance for report stability.,Slide 26-29 interpretability and cluster characterization,reports/cluster_importance_best.png,reports/figures/03_feature_clustering_insights/cluster_importance_best.png,25
cluster_insights,03_feature_clustering_insights,shap_summary.png,SHAP proxy using permutation importance (SHAP not available).,Slide 11 interpretability insights,reports/shap_summary.png,reports/figures/03_feature_clustering_insights/shap_summary.png,26
progressive,04_progressive_feature_selection,progressive_selection_performance.png,Progressive feature selection performance panel.,Slide 10 progressive feature selection,reports/progressive_selection_performance.png,reports/figures/04_progressive_feature_selection/progressive_selection_performance.png,27
recording,05_recording_level_performance,lr_cv_results_visualization.png,Cross-validation visualization panel for Logistic Regression.,Slide 16-18 baseline performance stability,reports/lr_cv_results_visualization.png,reports/figures/05_recording_level_performance/lr_cv_results_visualization.png,28
recording,05_recording_level_performance,enet_cv_results_visualization.png,Cross-validation visualization panel for Elastic-Net Logistic.,Slide 16-18 baseline performance stability,reports/enet_cv_results_visualization.png,reports/figures/05_recording_level_performance/enet_cv_results_visualization.png,29
recording,05_recording_level_performance,rf_cv_results_visualization.png,Cross-validation visualization panel for Random Forest.,Slide 16-18 baseline performance stability,reports/rf_cv_results_visualization.png,reports/figures/05_recording_level_performance/rf_cv_results_visualization.png,30
recording,05_recording_level_performance,et_cv_results_visualization.png,Cross-validation visualization panel for Extra Trees.,Slide 16-18 baseline performance stability,reports/et_cv_results_visualization.png,reports/figures/05_recording_level_performance/et_cv_results_visualization.png,31
recording,05_recording_level_performance,hgb_cv_results_visualization.png,Cross-validation visualization panel for Hist Gradient Boosting.,Slide 16-18 baseline performance stability,reports/hgb_cv_results_visualization.png,reports/figures/05_recording_level_performance/hgb_cv_results_visualization.png,32
recording,05_recording_level_performance,svm_cv_results_visualization.png,Cross-validation visualization panel for RBF SVM.,Slide 16-18 baseline performance stability,reports/svm_cv_results_visualization.png,reports/figures/05_recording_level_performance/svm_cv_results_visualization.png,33
recording,05_recording_level_performance,nn_cv_results_visualization.png,Cross-validation visualization panel for Neural Network.,Slide 16-18 baseline performance stability,reports/nn_cv_results_visualization.png,reports/figures/05_recording_level_performance/nn_cv_results_visualization.png,34
recording,05_recording_level_performance,resnn_cv_results_visualization.png,Cross-validation visualization panel for Residual Neural Network.,Slide 16-18 baseline performance stability,reports/resnn_cv_results_visualization.png,reports/figures/05_recording_level_performance/resnn_cv_results_visualization.png,35
recording,05_recording_level_performance,wdnn_cv_results_visualization.png,Cross-validation visualization panel for Wide+Deep Neural Network.,Slide 16-18 baseline performance stability,reports/wdnn_cv_results_visualization.png,reports/figures/05_recording_level_performance/wdnn_cv_results_visualization.png,36
recording,05_recording_level_performance,nn_final_training_curves.png,Final neural network training curves (loss/accuracy).,Slide 17 baseline neural model diagnostics,reports/nn_final_training_curves.png,reports/figures/05_recording_level_performance/nn_final_training_curves.png,37
recording,05_recording_level_performance,feature_importance.png,Neural network feature importance (permutation).,Slide 26 interpretability context,reports/feature_importance.png,reports/figures/05_recording_level_performance/feature_importance.png,38
recording,05_recording_level_performance,rf_feature_importance.png,Random forest feature importance plot.,Slide 26 interpretability context,reports/rf_feature_importance.png,reports/figures/05_recording_level_performance/rf_feature_importance.png,39
recording,05_recording_level_performance,lr_roc_curve.png,Recording-level ROC curve for Logistic Regression.,Slide 17-21 recording-level performance,reports/lr_roc_curve.png,reports/figures/05_recording_level_performance/lr_roc_curve.png,40
recording,05_recording_level_performance,lr_pr_curve.png,Recording-level PR curve for Logistic Regression.,Slide 17-21 recording-level performance,reports/lr_pr_curve.png,reports/figures/05_recording_level_performance/lr_pr_curve.png,41
recording,05_recording_level_performance,lr_confusion_matrix.png,Recording-level confusion matrix for Logistic Regression.,Slide 17-21 recording-level performance,reports/lr_confusion_matrix.png,reports/figures/05_recording_level_performance/lr_confusion_matrix.png,42
recording,05_recording_level_performance,enet_roc_curve.png,Recording-level ROC curve for Elastic-Net Logistic.,Slide 17-21 recording-level performance,reports/enet_roc_curve.png,reports/figures/05_recording_level_performance/enet_roc_curve.png,43
recording,05_recording_level_performance,enet_pr_curve.png,Recording-level PR curve for Elastic-Net Logistic.,Slide 17-21 recording-level performance,reports/enet_pr_curve.png,reports/figures/05_recording_level_performance/enet_pr_curve.png,44
recording,05_recording_level_performance,enet_confusion_matrix.png,Recording-level confusion matrix for Elastic-Net Logistic.,Slide 17-21 recording-level performance,reports/enet_confusion_matrix.png,reports/figures/05_recording_level_performance/enet_confusion_matrix.png,45
recording,05_recording_level_performance,rf_roc_curve.png,Recording-level ROC curve for Random Forest.,Slide 17-21 recording-level performance,reports/rf_roc_curve.png,reports/figures/05_recording_level_performance/rf_roc_curve.png,46
recording,05_recording_level_performance,rf_pr_curve.png,Recording-level PR curve for Random Forest.,Slide 17-21 recording-level performance,reports/rf_pr_curve.png,reports/figures/05_recording_level_performance/rf_pr_curve.png,47
recording,05_recording_level_performance,rf_confusion_matrix.png,Recording-level confusion matrix for Random Forest.,Slide 17-21 recording-level performance,reports/rf_confusion_matrix.png,reports/figures/05_recording_level_performance/rf_confusion_matrix.png,48
recording,05_recording_level_performance,et_roc_curve.png,Recording-level ROC curve for Extra Trees.,Slide 17-21 recording-level performance,reports/et_roc_curve.png,reports/figures/05_recording_level_performance/et_roc_curve.png,49
recording,05_recording_level_performance,et_pr_curve.png,Recording-level PR curve for Extra Trees.,Slide 17-21 recording-level performance,reports/et_pr_curve.png,reports/figures/05_recording_level_performance/et_pr_curve.png,50
recording,05_recording_level_performance,et_confusion_matrix.png,Recording-level confusion matrix for Extra Trees.,Slide 17-21 recording-level performance,reports/et_confusion_matrix.png,reports/figures/05_recording_level_performance/et_confusion_matrix.png,51
recording,05_recording_level_performance,hgb_roc_curve.png,Recording-level ROC curve for Hist Gradient Boosting.,Slide 17-21 recording-level performance,reports/hgb_roc_curve.png,reports/figures/05_recording_level_performance/hgb_roc_curve.png,52
recording,05_recording_level_performance,hgb_pr_curve.png,Recording-level PR curve for Hist Gradient Boosting.,Slide 17-21 recording-level performance,reports/hgb_pr_curve.png,reports/figures/05_recording_level_performance/hgb_pr_curve.png,53
recording,05_recording_level_performance,hgb_confusion_matrix.png,Recording-level confusion matrix for Hist Gradient Boosting.,Slide 17-21 recording-level performance,reports/hgb_confusion_matrix.png,reports/figures/05_recording_level_performance/hgb_confusion_matrix.png,54
recording,05_recording_level_performance,svm_roc_curve.png,Recording-level ROC curve for RBF SVM.,Slide 17-21 recording-level performance,reports/svm_roc_curve.png,reports/figures/05_recording_level_performance/svm_roc_curve.png,55
recording,05_recording_level_performance,svm_pr_curve.png,Recording-level PR curve for RBF SVM.,Slide 17-21 recording-level performance,reports/svm_pr_curve.png,reports/figures/05_recording_level_performance/svm_pr_curve.png,56
recording,05_recording_level_performance,svm_confusion_matrix.png,Recording-level confusion matrix for RBF SVM.,Slide 17-21 recording-level performance,reports/svm_confusion_matrix.png,reports/figures/05_recording_level_performance/svm_confusion_matrix.png,57
recording,05_recording_level_performance,nn_final_roc_curve.png,Recording-level ROC curve for Neural Network.,Slide 17-21 recording-level performance,reports/nn_final_roc_curve.png,reports/figures/05_recording_level_performance/nn_final_roc_curve.png,58
recording,05_recording_level_performance,nn_final_pr_curve.png,Recording-level PR curve for Neural Network.,Slide 17-21 recording-level performance,reports/nn_final_pr_curve.png,reports/figures/05_recording_level_performance/nn_final_pr_curve.png,59
recording,05_recording_level_performance,nn_final_confusion_matrix.png,Recording-level confusion matrix for Neural Network.,Slide 17-21 recording-level performance,reports/nn_final_confusion_matrix.png,reports/figures/05_recording_level_performance/nn_final_confusion_matrix.png,60
recording,05_recording_level_performance,resnn_roc_curve.png,Recording-level ROC curve for Residual Neural Network.,Slide 17-21 recording-level performance,reports/resnn_roc_curve.png,reports/figures/05_recording_level_performance/resnn_roc_curve.png,61
recording,05_recording_level_performance,resnn_pr_curve.png,Recording-level PR curve for Residual Neural Network.,Slide 17-21 recording-level performance,reports/resnn_pr_curve.png,reports/figures/05_recording_level_performance/resnn_pr_curve.png,62
recording,05_recording_level_performance,resnn_confusion_matrix.png,Recording-level confusion matrix for Residual Neural Network.,Slide 17-21 recording-level performance,reports/resnn_confusion_matrix.png,reports/figures/05_recording_level_performance/resnn_confusion_matrix.png,63
recording,05_recording_level_performance,wdnn_roc_curve.png,Recording-level ROC curve for Wide+Deep Neural Network.,Slide 17-21 recording-level performance,reports/wdnn_roc_curve.png,reports/figures/05_recording_level_performance/wdnn_roc_curve.png,64
recording,05_recording_level_performance,wdnn_pr_curve.png,Recording-level PR curve for Wide+Deep Neural Network.,Slide 17-21 recording-level performance,reports/wdnn_pr_curve.png,reports/figures/05_recording_level_performance/wdnn_pr_curve.png,65
recording,05_recording_level_performance,wdnn_confusion_matrix.png,Recording-level confusion matrix for Wide+Deep Neural Network.,Slide 17-21 recording-level performance,reports/wdnn_confusion_matrix.png,reports/figures/05_recording_level_performance/wdnn_confusion_matrix.png,66
recording,05_recording_level_performance,model_comparison.png,"Recording-level baseline model comparison (accuracy, ROC-AUC, F1).",Slide 16-18 baseline performance,reports/model_comparison.png,reports/figures/05_recording_level_performance/model_comparison.png,67
recording,05_recording_level_performance,fig_baseline_vs_best_cluster.png,Baseline vs locked clustered final-test recording-level performance per model.,Slide 19-24 baseline vs clustered final comparison,reports/fig_baseline_vs_best_cluster.png,reports/figures/05_recording_level_performance/fig_baseline_vs_best_cluster.png,68
patient,06_patient_level_performance,patient_level_performance_comparison.png,Final held-out patient-level ROC-AUC by aggregation method and model (test).,Slide 23-24 patient final-test performance,reports/patient_level_performance_comparison.png,reports/figures/06_patient_level_performance/patient_level_performance_comparison.png,69
patient,06_patient_level_performance,patient_level_metrics_line_charts.png,Final held-out patient-level metric trajectories by aggregation (test).,Slide 23-24 patient final-test performance,reports/patient_level_metrics_line_charts.png,reports/figures/06_patient_level_performance/patient_level_metrics_line_charts.png,70
patient,06_patient_level_performance,patient_level_performance_comparison_selection.png,Selection-split patient-level ROC-AUC by aggregation method and model (val).,Supplemental patient aggregation tuning trends,reports/patient_level_performance_comparison_selection.png,reports/figures/06_patient_level_performance/patient_level_performance_comparison_selection.png,71
patient,06_patient_level_performance,patient_level_metrics_line_charts_selection.png,Selection-split patient-level metric trajectories by aggregation (val).,Supplemental patient aggregation tuning trends,reports/patient_level_metrics_line_charts_selection.png,reports/figures/06_patient_level_performance/patient_level_metrics_line_charts_selection.png,72
patient,06_patient_level_performance,patient_level_confusion_roc.png,Best patient-level confusion matrix and ROC curve.,Slide 23-24 patient-level best configuration,reports/patient_level_confusion_roc.png,reports/figures/06_patient_level_performance/patient_level_confusion_roc.png,73
patient,06_patient_level_performance,recording_vs_patient_level_comparison.png,Recording-level (final test) versus patient-level (final test) metric comparison.,Slide 24 final test-level comparison,reports/recording_vs_patient_level_comparison.png,reports/figures/06_patient_level_performance/recording_vs_patient_level_comparison.png,74
patient,06_patient_level_performance,final_summary_all_models_levels.png,Summary heatmap across recording-level and patient-level metrics.,Slide 24 summary panel,reports/final_summary_all_models_levels.png,reports/figures/06_patient_level_performance/final_summary_all_models_levels.png,75
